"Country","ccodecow","ISO","CPARTY1","CPARTY2","CPARTY3","CPARTY4","CPARTY5","CPARTY6","CPARTY7","CPARTY8","CPARTY9","CPARTY10","P1Name","P2Name","P3Name","P4Name","P5Name","P6Name","P7Name","P8Name","P9Name","P10Name","P1Abb","P2Abb","P3Abb","P4Abb","P5Abb","P6Abb","P7Abb","P8Abb","P9Abb","P10Abb","Q2.1_1","Q2.1_2","Q2.1_3","Q2.1_4","Q2.1_5","Q2.1_6","Q2.1_7","Q2.1_8","Q2.1_9","Q2.1_10","Q2.2_1","Q2.2_2","Q2.2_3","Q2.2_4","Q2.2_5","Q2.2_6","Q2.2_7","Q2.2_8","Q2.2_9","Q2.2_10","Q2.3_1","Q2.3_2","Q2.3_3","Q2.3_4","Q2.3_5","Q2.3_6","Q2.3_7","Q2.3_8","Q2.3_9","Q2.3_10","Q3.1_1","Q3.1_2","Q3.1_3","Q3.1_4","Q3.1_5","Q3.1_6","Q3.1_7","Q3.1_8","Q3.1_9","Q3.1_10","Q3.2_1","Q3.2_2","Q3.2_3","Q3.2_4","Q3.2_5","Q3.2_6","Q3.2_7","Q3.2_8","Q3.2_9","Q3.2_10","Q3.3_1","Q3.3_2","Q3.3_3","Q3.3_4","Q3.3_5","Q3.3_6","Q3.3_7","Q3.3_8","Q3.3_9","Q3.3_10","Q3.4_1","Q3.4_2","Q3.4_3","Q3.4_4","Q3.4_5","Q3.4_6","Q3.4_7","Q3.4_8","Q3.4_9","Q3.4_10","Q3.5_1","Q3.5_2","Q3.5_3","Q3.5_4","Q3.5_5","Q3.5_6","Q3.5_7","Q3.5_8","Q3.5_9","Q3.5_10","Q3.6_1","Q3.6_2","Q3.6_3","Q3.6_4","Q3.6_5","Q3.6_6","Q3.6_7","Q3.6_8","Q3.6_9","Q3.6_10","Q4.1_1","Q4.1_2","Q4.1_3","Q4.1_4","Q4.1_5","Q4.1_6","Q4.1_7","Q4.1_8","Q4.1_9","Q4.1_10","Q4.2_1","Q4.2_2","Q4.2_3","Q4.2_4","Q4.2_5","Q4.2_6","Q4.2_7","Q4.2_8","Q4.2_9","Q4.2_10","Q4.3_1","Q4.3_2","Q4.3_3","Q4.3_4","Q4.3_5","Q4.3_6","Q4.3_7","Q4.3_8","Q4.3_9","Q4.3_10","Q4.4_1","Q4.4_2","Q4.4_3","Q4.4_4","Q4.4_5","Q4.4_6","Q4.4_7","Q4.4_8","Q4.4_9","Q4.4_10","Q4.5_1","Q4.5_2","Q4.5_3","Q4.5_4","Q4.5_5","Q4.5_6","Q4.5_7","Q4.5_8","Q4.5_9","Q4.5_10","Q4.6_1","Q4.6_2","Q4.6_3","Q4.6_4","Q4.6_5","Q4.6_6","Q4.6_7","Q4.6_8","Q4.6_9","Q4.6_10","Q4.7_1","Q4.7_2","Q4.7_3","Q4.7_4","Q4.7_5","Q4.7_6","Q4.7_7","Q4.7_8","Q4.7_9","Q4.7_10","Q4.8_1","Q4.8_2","Q4.8_3","Q4.8_4","Q4.8_5","Q4.8_6","Q4.8_7","Q4.8_8","Q4.8_9","Q4.8_10","Q5.1_1","Q5.1_2","Q5.1_3","Q5.1_4","Q5.1_5","Q5.1_6","Q5.1_7","Q5.1_8","Q5.1_9","Q5.1_10","Q5.2_1","Q5.2_2","Q5.2_3","Q5.2_4","Q5.2_5","Q5.2_6","Q5.2_7","Q5.2_8","Q5.2_9","Q5.2_10","Q5.3_1","Q5.3_2","Q5.3_3","Q5.3_4","Q5.3_5","Q5.3_6","Q5.3_7","Q5.3_8","Q5.3_9","Q5.3_10","Q5.4_1","Q5.4_2","Q5.4_3","Q5.4_4","Q5.4_5","Q5.4_6","Q5.4_7","Q5.4_8","Q5.4_9","Q5.4_10","METAPARTY","Elec_code","Elec_year","Elec_date","P1PerVote","P2PerVote","P3PerVote","P4PerVote","P5PerVote","P6PerVote","P7PerVote","P8PerVote","P9PerVote","P10PerVote","P1PerSeats","P2PerSeats","P3PerSeats","P4PerSeats","P5PerSeats","P6PerSeats","P7PerSeats","P8PerSeats","P9PerSeats","P10PerSeats","METACOUNTRY","LSQINDEX","ENEP","ENPP","PR","CL","Regime","polity","polity2","GDP","Region","OECD","Turnout","METAEXPERT","R_YearofBirth","R_Gender","R_Countryofbirth","R_Countryofcitizenship","R_Partysupport","R_ideology","Difficulty","LocationLatitude","LocationLongitude","UserLanguage","Expert"
"Philippines",840,"PHL","PHL_ United Nationalist Alliance ","PHL_ Independents","PHL_ Nacionalista Party","PHL_ Liberal Party","PHL_ Nationalist People’s Coalition","PHL_ Struggle of Democratic Filipinos","PHL_ Philippine Democratic Party-People's Power","","","","United Nationalist Alliance ","Independents","Nacionalista Party","Liberal Party","Nationalist People’s Coalition","Struggle of Democratic Filipinos","Philippine Democratic Party-People's Power","","","","UNA","Ind.","NP","LP","NPC","LDP","PDB LA","","","",NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,3,3,1,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,2,3,3,NA,3,NA,3,NA,NA,NA,3,3,3,7,4,NA,3,NA,NA,NA,3,3,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,3,3,NA,3,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,3,3,NA,7,NA,NA,NA,NA,NA,NA,7,7,7,7,7,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHL_13052013_L1",2013,2013-05-13,26.97,16.24,15.3,11.32,10.15,5.38,4.95,NA,NA,NA,25,16.7,25,8.3,8.3,8.3,8.3,NA,NA,NA,NA,8.07695177650579,6.62330477342237,5.54185485882125,3,3,1,8,8,6526.650390625,3,0,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",1
"Poland",290,"POL","POL_ Law and Justice","POL_ Civic Platform","POL_ Independents","POL_ Polish Peasant Party","","","","","","","Law and Justice","Civic Platform","Independents","Polish Peasant Party","","","","","","","PiS","PO","Ind.","PSL","","","","","","",10,10,0,10,NA,NA,NA,NA,NA,NA,9,4,NA,7,NA,NA,NA,NA,NA,NA,3,7,NA,7,NA,NA,NA,NA,NA,NA,2,8,NA,4,NA,NA,NA,NA,NA,NA,8,NA,NA,7,NA,NA,NA,NA,NA,NA,8,4,NA,NA,NA,NA,NA,NA,NA,NA,9,7,NA,7,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,4,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,7,3,NA,4,NA,NA,NA,NA,NA,NA,7,4,NA,4,NA,NA,NA,NA,NA,NA,NA,4,NA,7,NA,NA,NA,NA,NA,NA,3,NA,NA,4,NA,NA,NA,NA,NA,NA,2,7,NA,4,NA,NA,NA,NA,NA,NA,7,4,NA,3,NA,NA,NA,NA,NA,NA,9,4,NA,4,NA,NA,NA,NA,NA,NA,NA,"POL_25102015_L1",2015,2015-10-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,34,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.04331834899877,1,1,2,10,10,26855.775390625,5,1,49.6,NA,1975,1,1,1,NA,7,7,52.2492065429688,21.0003051757812,"EN",1
"Mongolia",712,"MNG","MNG_ Mongolian People’s Party","MNG_ Democratic Party","MNG_ Independents","MNG_ Mongolian People's Revolutionary Party","","","","","","","Mongolian People’s Party","Democratic Party","Independents","Mongolian People's Revolutionary Party","","","","","","","MAN","DP","Ind.","MAXN","","","","","","",1,1,1,1,NA,NA,NA,NA,NA,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,4,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,7,3,NA,NA,NA,NA,NA,NA,NA,7,4,8,7,NA,NA,NA,NA,NA,NA,NA,7,NA,7,NA,NA,NA,NA,NA,NA,7,9,7,NA,NA,NA,NA,NA,NA,NA,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,7,NA,NA,NA,NA,NA,NA,NA,7,10,4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,7,NA,NA,NA,NA,NA,NA,3,2,NA,4,NA,NA,NA,NA,NA,NA,3,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,4,NA,7,7,NA,NA,NA,NA,NA,NA,NA,"MNG_26062016_L1",2016,2016-06-26,45.9,33.7,12.3,8.1,NA,NA,NA,NA,NA,NA,85.5,11.8,1.3,1.3,NA,NA,NA,NA,NA,NA,NA,33.2791977066756,2.89067468347112,1.34176498449591,1,2,2,10,10,12220.3935546875,3,0,72.6,NA,1965,0,0,1,NA,6,9,47.9172973632812,106.917694091797,"EN",1
"Algeria",615,"DZA","DZA_ National Liberation Front","DZA_ National Democratic Rally","DZA_ HMS Alliance","DZA_ Tajamoua Emel El Djazair","DZA_ Nadha-Adala-Bina (NAB)","","","","","","National Liberation Front","National Democratic Rally","HMS Alliance","Tajamoua Emel El Djazair","Nadha-Adala-Bina (NAB)","","","","","","FLN","RND","TAJ","MPA","FM","","","","","",NA,8,10,7,7,NA,NA,NA,NA,NA,3,4,8,4,4,NA,NA,NA,NA,NA,10,10,8,10,9,NA,NA,NA,NA,NA,3,3,7,NA,NA,NA,NA,NA,NA,NA,8,8,3,7,3,NA,NA,NA,NA,NA,7,NA,10,8,10,NA,NA,NA,NA,NA,NA,NA,8,NA,8,NA,NA,NA,NA,NA,7,7,NA,7,NA,NA,NA,NA,NA,NA,8,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,4,NA,NA,NA,NA,NA,NA,NA,4,8,NA,8,NA,NA,NA,NA,NA,7,7,7,7,7,NA,NA,NA,NA,NA,10,10,NA,10,7,NA,NA,NA,NA,NA,10,10,8,10,9,NA,NA,NA,NA,NA,NA,NA,7,NA,7,NA,NA,NA,NA,NA,9,9,NA,9,7,NA,NA,NA,NA,NA,2,2,7,2,7,NA,NA,NA,NA,NA,10,10,3,10,4,NA,NA,NA,NA,NA,NA,"DZA_04052017_L1",2017,2017-05-04,25.8,14.8,6,4.1,4.1,NA,NA,NA,NA,NA,35.5,21,7.1,4.1,3.2,NA,NA,NA,NA,NA,NA,8.20213386869539,10.478885046631,5.62205193651579,6,5,0,2,2,13913.83984375,7,0,28,NA,1965,1,0,0,NA,5,7,NA,NA,"EN",1
"Chile",155,"CHL","CHL_ Chile Let's Go","CHL_ The Force of the Majority","CHL_ Democratic Convergence","CHL_ Broad Front","","","","","","","Chile Let's Go","The Force of the Majority","Democratic Convergence","Broad Front","","","","","","","CV","","","FA","","","","","","",10,10,10,10,NA,NA,NA,NA,NA,NA,8,NA,8,8,NA,NA,NA,NA,NA,NA,9,4,7,7,NA,NA,NA,NA,NA,NA,10,4,4,2,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,10,4,NA,2,NA,NA,NA,NA,NA,NA,4,7,7,9,NA,NA,NA,NA,NA,NA,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,9,NA,NA,2,NA,NA,NA,NA,NA,NA,9,4,4,4,NA,NA,NA,NA,NA,NA,7,4,4,2,NA,NA,NA,NA,NA,NA,3,8,8,8,NA,NA,NA,NA,NA,NA,4,3,3,2,NA,NA,NA,NA,NA,NA,7,3,3,2,NA,NA,NA,NA,NA,NA,4,2,2,2,NA,NA,NA,NA,NA,NA,NA,4,2,1,NA,NA,NA,NA,NA,NA,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,NA,NA,NA,NA,NA,NA,NA,4,8,8,NA,NA,NA,NA,NA,NA,3,2,1,1,NA,NA,NA,NA,NA,NA,NA,"CHL_19112017_P1",2017,2017-11-19,37.71,22.82,14.32,11.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1955,1,1,1,NA,4,9,NA,NA,"ES-ES",1
"Zimbabwe",552,"ZWE","ZWE_ Zimbabwe African National Union – Patriotic Front ","ZWE_ Movement for Democratic Change","ZWE_ Movement for Democratic Change Ncube","ZWE_ Independents","","","","","","","Zimbabwe African National Union – Patriotic Front ","Movement for Democratic Change","Movement for Democratic Change Ncube","Independents","","","","","","","ZANU PDF","MDC","MDC","Ind.","","","","","","",8,8,8,7,NA,NA,NA,NA,NA,NA,3,3,4,NA,NA,NA,NA,NA,NA,NA,7,NA,7,7,NA,NA,NA,NA,NA,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,10,NA,NA,NA,NA,NA,NA,7,3,NA,3,NA,NA,NA,NA,NA,NA,7,7,7,8,NA,NA,NA,NA,NA,NA,7,3,7,NA,NA,NA,NA,NA,NA,NA,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9,NA,7,NA,NA,NA,NA,NA,NA,NA,3,4,3,NA,NA,NA,NA,NA,NA,7,4,4,3,NA,NA,NA,NA,NA,NA,8,3,4,2,NA,NA,NA,NA,NA,NA,8,4,4,NA,NA,NA,NA,NA,NA,NA,8,4,4,NA,NA,NA,NA,NA,NA,NA,8,2,3,3,NA,NA,NA,NA,NA,NA,3,NA,NA,7,NA,NA,NA,NA,NA,NA,7,3,NA,2,NA,NA,NA,NA,NA,NA,NA,"ZWE_31072013_L1",2013,2013-07-31,62.791,29.847,4.686,2.252,NA,NA,NA,NA,NA,NA,73,25.9,0.7,0.4,NA,NA,NA,NA,NA,NA,NA,8.34028147007042,2.05736628900286,1.66653889868443,5,6,0,4,4,1967.47412109375,1,0,57.494,NA,1949,0,0,0,2,4,5,NA,NA,"EN",1
"Malaysia",820,"MYS","MYS_ Alliance of Hope","MYS_ National Front","MYS_ Malaysian Islamic Party","MYS_ Sabah Heritage Party","MYS_ Independents","","","","","","Alliance of Hope","National Front","Malaysian Islamic Party","Sabah Heritage Party","Independents","","","","","","PH","BN","PAS","SABAH","Ind.","","","","","",10,10,10,7,7,NA,NA,NA,NA,NA,NA,NA,9,7,2,NA,NA,NA,NA,NA,0,0,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,7,10,NA,NA,NA,NA,NA,NA,NA,7,10,7,NA,NA,NA,NA,NA,NA,10,10,10,10,NA,NA,NA,NA,NA,NA,4,7,9,9,NA,NA,NA,NA,NA,NA,8,8,10,10,NA,NA,NA,NA,NA,NA,8,8,8,7,NA,NA,NA,NA,NA,NA,4,1,4,4,NA,NA,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,9,9,7,9,NA,NA,NA,NA,NA,NA,2,3,7,3,NA,NA,NA,NA,NA,NA,0,3,3,3,NA,NA,NA,NA,NA,NA,3,NA,8,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MYS_09052018_L1",2018,2018-05-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.9,35.6,8.1,3.6,1.8,NA,NA,NA,NA,NA,NA,NA,NA,2.53808394966472,4,4,1,5,5,26808.1640625,3,0,82.32,NA,1975,1,1,1,NA,6,9,3.14889526367188,101.693603515625,"EN",1
"Turkey",640,"TUR","TUR_ Justice and Development Party","TUR_ Republican People's Party ","TUR_ Nationalist Movement Party","TUR_ People’s Democratic Party","","","","","","","Justice and Development Party","Republican People's Party ","Nationalist Movement Party","People’s Democratic Party","","","","","","","AKP","CHP","MHP","HDP","","","","","","",10,10,10,9,NA,NA,NA,NA,NA,NA,7,NA,9,9,NA,NA,NA,NA,NA,NA,9,8,1,1,NA,NA,NA,NA,NA,NA,3,0,1,0,NA,NA,NA,NA,NA,NA,9,8,7,NA,NA,NA,NA,NA,NA,NA,9,4,9,0,NA,NA,NA,NA,NA,NA,10,8,10,8,NA,NA,NA,NA,NA,NA,10,4,NA,0,NA,NA,NA,NA,NA,NA,10,NA,4,1,NA,NA,NA,NA,NA,NA,1,9,NA,2,NA,NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,NA,NA,7,3,NA,1,NA,NA,NA,NA,NA,NA,0,1,0,2,NA,NA,NA,NA,NA,NA,NA,3,7,0,NA,NA,NA,NA,NA,NA,NA,4,10,0,NA,NA,NA,NA,NA,NA,8,4,7,2,NA,NA,NA,NA,NA,NA,10,9,8,7,NA,NA,NA,NA,NA,NA,0,1,0,3,NA,NA,NA,NA,NA,NA,4,NA,NA,7,NA,NA,NA,NA,NA,NA,4,9,8,10,NA,NA,NA,NA,NA,NA,4,10,8,10,NA,NA,NA,NA,NA,NA,NA,"TUR_07062015_L1",2015,2015-06-07,40.9,25,16.3,13.1,NA,NA,NA,NA,NA,NA,46.9,24,14.5,14.5,NA,NA,NA,NA,NA,NA,NA,4.59347363114234,3.656160081313,3.12880345169597,3,4,1,3,3,24054.177734375,6,1,82,NA,1977,1,1,1,NA,7,2,NA,NA,"EN",1
"Cote d'Ivoire",437,"CIV","CIV_ Rally of Houphouetists for Democracy and Peace","CIV_ Independents","CIV_ Ivorian Popular Front","CIV_ Union for Democracy and Peace in Cote d'Ivoire","CIV_ Union for Cote d'Ivoire","","","","","","Rally of Houphouetists for Democracy and Peace","Independents","Ivorian Popular Front","Union for Democracy and Peace in Cote d'Ivoire","Union for Cote d'Ivoire","","","","","","RHDP","Ind.","FPI","UDPCI","UPCI","","","","","",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,7,NA,4,7,NA,NA,NA,NA,NA,NA,9,NA,4,3,3,NA,NA,NA,NA,NA,10,NA,NA,7,3,NA,NA,NA,NA,NA,8,NA,7,NA,4,NA,NA,NA,NA,NA,3,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,7,NA,NA,NA,NA,NA,3,NA,10,4,NA,NA,NA,NA,NA,NA,3,NA,10,3,NA,NA,NA,NA,NA,NA,0,0,10,NA,2,NA,NA,NA,NA,NA,NA,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,NA,4,NA,NA,NA,NA,NA,NA,7,7,NA,7,7,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,8,8,NA,NA,NA,NA,NA,3,8,3,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"CIV_18122016_L1",2016,2016-12-18,50.3,38.5,5.8,3,1,NA,NA,NA,NA,NA,65.5,29.8,1.2,2.4,1.2,NA,NA,NA,NA,NA,NA,12.8119085229329,2.46549539198911,1.92792268258874,4,4,1,4,4,3719.62451171875,2,0,32.3,NA,1975,1,1,1,NA,NA,5,5.30720520019531,-4.01240539550781,"EN",1
"Moldova",359,"MDA","MDA_ Party of Socialists","MDA_ Liberal Democratic Party","MDA_ Party of Communists","MDA_ Democratic Party of Moldova","MDA_ Liberal Party","","","","","","Party of Socialists","Liberal Democratic Party","Party of Communists","Democratic Party of Moldova","Liberal Party","","","","","","PSRM","PLDM","PCRM","PDM","PL","","","","","",10,10,10,10,10,NA,NA,NA,NA,NA,9,7,8,NA,NA,NA,NA,NA,NA,NA,7,7,4,3,NA,NA,NA,NA,NA,NA,3,7,3,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,9,7,9,7,9,NA,NA,NA,NA,NA,7,4,7,3,7,NA,NA,NA,NA,NA,8,7,7,7,7,NA,NA,NA,NA,NA,8,NA,NA,7,NA,NA,NA,NA,NA,NA,10,NA,10,7,10,NA,NA,NA,NA,NA,0,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,7,9,9,NA,NA,NA,NA,NA,8,7,NA,NA,9,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,10,8,9,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,7,8,NA,NA,NA,NA,NA,8,7,7,7,10,NA,NA,NA,NA,NA,4,NA,NA,7,4,NA,NA,NA,NA,NA,NA,"MDA_30112014_L1",2014,2014-11-30,20.5,20.2,17.5,15.8,9.7,NA,NA,NA,NA,NA,24.8,22.8,20.8,18.8,12.9,NA,NA,NA,NA,NA,NA,5.26212884676915,6.76466410060408,4.79071750576084,3,3,1,9,9,5017.09375,5,0,53.7,NA,1980,1,1,1,NA,4,10,43.6591033935547,-79.4626007080078,"EN",1
"Poland",290,"POL","POL_ Law and Justice","POL_ Civic Platform","POL_ Independents","POL_ Polish Peasant Party","","","","","","","Law and Justice","Civic Platform","Independents","Polish Peasant Party","","","","","","","PiS","PO","Ind.","PSL","","","","","","",10,10,0,10,NA,NA,NA,NA,NA,NA,8,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,8,NA,7,NA,NA,NA,NA,NA,NA,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,7,NA,7,NA,NA,NA,NA,NA,NA,10,NA,NA,8,NA,NA,NA,NA,NA,NA,9,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,3,10,3,NA,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,3,9,NA,NA,NA,NA,NA,NA,NA,NA,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,NA,0,NA,NA,NA,NA,NA,NA,7,NA,NA,7,NA,NA,NA,NA,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,NA,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,8,0,NA,0,NA,NA,NA,NA,NA,NA,NA,"POL_25102015_L1",2015,2015-10-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,34,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.04331834899877,1,1,2,10,10,26855.775390625,5,1,49.6,NA,1980,0,1,1,NA,5,8,53.1313934326172,18.0178070068359,"EN",1
"Turkey",640,"TUR","TUR_ Justice and Development Party","TUR_ Republican People's Party ","TUR_ Nationalist Movement Party","TUR_ People’s Democratic Party","","","","","","","Justice and Development Party","Republican People's Party ","Nationalist Movement Party","People’s Democratic Party","","","","","","","AKP","CHP","MHP","HDP","","","","","","",10,10,10,10,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,8,8,10,NA,NA,NA,NA,NA,NA,NA,8,3,7,2,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,10,3,10,1,NA,NA,NA,NA,NA,NA,3,8,2,10,NA,NA,NA,NA,NA,NA,10,4,9,0,NA,NA,NA,NA,NA,NA,10,8,9,7,NA,NA,NA,NA,NA,NA,NA,8,9,2,NA,NA,NA,NA,NA,NA,NA,3,4,3,NA,NA,NA,NA,NA,NA,8,3,9,0,NA,NA,NA,NA,NA,NA,2,3,1,10,NA,NA,NA,NA,NA,NA,10,0,10,0,NA,NA,NA,NA,NA,NA,8,4,10,0,NA,NA,NA,NA,NA,NA,10,3,10,0,NA,NA,NA,NA,NA,NA,10,4,10,3,NA,NA,NA,NA,NA,NA,10,NA,9,1,NA,NA,NA,NA,NA,NA,10,NA,10,1,NA,NA,NA,NA,NA,NA,0,8,1,9,NA,NA,NA,NA,NA,NA,10,0,10,0,NA,NA,NA,NA,NA,NA,NA,"TUR_07062015_L1",2015,2015-06-07,40.9,25,16.3,13.1,NA,NA,NA,NA,NA,NA,46.9,24,14.5,14.5,NA,NA,NA,NA,NA,NA,NA,4.59347363114234,3.656160081313,3.12880345169597,3,4,1,3,3,24054.177734375,6,1,82,NA,1975,1,1,1,NA,2,10,41.0482940673828,28.9521026611328,"EN",1
"Mongolia",712,"MNG","MNG_ Mongolian People’s Party","MNG_ Democratic Party","MNG_ Independents","MNG_ Mongolian People's Revolutionary Party","","","","","","","Mongolian People’s Party","Democratic Party","Independents","Mongolian People's Revolutionary Party","","","","","","","MAN","DP","Ind.","MAXN","","","","","","",10,10,10,10,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,7,8,9,8,NA,NA,NA,NA,NA,NA,4,NA,3,3,NA,NA,NA,NA,NA,NA,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,3,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,9,9,9,9,NA,NA,NA,NA,NA,NA,3,4,3,3,NA,NA,NA,NA,NA,NA,4,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,4,4,8,7,NA,NA,NA,NA,NA,NA,4,4,3,7,NA,NA,NA,NA,NA,NA,NA,"MNG_26062016_L1",2016,2016-06-26,45.9,33.7,12.3,8.1,NA,NA,NA,NA,NA,NA,85.5,11.8,1.3,1.3,NA,NA,NA,NA,NA,NA,NA,33.2791977066756,2.89067468347112,1.34176498449591,1,2,2,10,10,12220.3935546875,3,0,72.6,NA,1970,1,0,0,NA,4,10,49.4635009765625,-122.821998596191,"EN",1
